                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.32347,                 0.1777,                0.80522,                0.96878,                0.95524,                0.97888,                    0.8,                0.59245,                 0.2215,                0.86741,             0.00022627,             0.00022627,             0.00022627
                    141,                0.34817,                0.18577,                0.81946,                0.96341,                0.95436,                0.97673,                0.78572,                0.54771,                 0.2131,                0.85494,             0.00022273,             0.00022273,             0.00022273
                    142,                0.33267,                0.17751,                0.81282,                0.97745,                 0.9729,                0.97608,                0.77504,                0.58356,                0.22003,                0.86465,              0.0002192,              0.0002192,              0.0002192
                    143,                0.33162,                0.17737,                0.81339,                0.98565,                 0.9667,                0.98741,                0.78029,                0.58225,                0.22131,                0.86972,             0.00021566,             0.00021566,             0.00021566
                    144,                0.31813,                0.17278,                0.80838,                0.99249,                0.97763,                0.99075,                0.79376,                0.62317,                0.23078,                0.88412,             0.00021213,             0.00021213,             0.00021213
                    145,                0.31898,                0.17678,                0.80517,                  0.968,                0.97756,                0.98482,                  0.802,                0.58376,                0.22105,                0.86686,              0.0002086,              0.0002086,              0.0002086
                    146,                0.32962,                0.17876,                0.81409,                0.99873,                0.92999,                0.98276,                0.81475,                0.52837,                0.20661,                  0.844,             0.00020506,             0.00020506,             0.00020506
                    147,                0.31738,                0.16991,                0.81443,                0.99567,                0.93311,                0.98854,                0.80827,                 0.5366,                0.21013,                0.85031,             0.00020153,             0.00020153,             0.00020153
                    148,                0.31067,                0.17017,                0.80452,                 0.9793,                0.97316,                0.99368,                0.79543,                0.60704,                0.22287,                 0.8779,             0.00019799,             0.00019799,             0.00019799
                    149,                0.31605,                0.17261,                0.80756,                0.98691,                0.95358,                0.98988,                0.80261,                0.57602,                0.21788,                0.86712,             0.00019446,             0.00019446,             0.00019446
                    150,                0.33544,                0.17328,                 0.8203,                0.98353,                0.97423,                0.99022,                0.80261,                0.54051,                0.20695,                0.85306,             0.00019092,             0.00019092,             0.00019092
                    151,                0.31208,                0.16879,                 0.8107,                0.96061,                0.95375,                 0.9618,                0.78095,                0.55689,                0.21379,                0.86134,             0.00018739,             0.00018739,             0.00018739
                    152,                0.29834,                 0.1651,                0.80607,                0.98889,                0.95533,                0.97759,                0.79798,                0.54341,                 0.2083,                  0.858,             0.00018385,             0.00018385,             0.00018385
                    153,                0.30891,                0.17154,                0.80183,                0.99178,                0.95533,                0.97765,                0.79448,                0.55657,                0.20972,                0.86065,             0.00018032,             0.00018032,             0.00018032
                    154,                0.29729,                0.16149,                0.80645,                0.99115,                 0.9541,                0.98771,                0.79033,                0.55765,                0.21514,                0.86202,             0.00017679,             0.00017679,             0.00017679
                    155,                0.32374,                  0.173,                0.80916,                0.98294,                0.97585,                0.99118,                0.80699,                0.58355,                0.22139,                0.87736,             0.00017325,             0.00017325,             0.00017325
